flight_name,flight_number,date_utc,payload_mass_kg,orbit,launch_site,landing_type,landpad_name,landing_success,year,month
CASSIOPE,11,2013-09-29T16:00:00.000Z,500.0,PO,VAFB SLC 4E,Ocean,,0,2013,9
CRS-3,14,2014-04-18T19:25:00.000Z,2296.0,ISS,CCSFS SLC 40,Ocean,,1,2014,4
OG-2 Mission 1,15,2014-07-14T15:15:00.000Z,1316.0,LEO,CCSFS SLC 40,Ocean,,1,2014,7
CRS-4,18,2014-09-21T05:52:00.000Z,2216.0,ISS,CCSFS SLC 40,Ocean,,0,2014,9
CRS-5,19,2015-01-10T09:47:00.000Z,2395.0,ISS,CCSFS SLC 40,ASDS,JRTI-1,0,2015,1
DSCOVR,20,2015-02-11T23:03:00.000Z,570.0,ES-L1,CCSFS SLC 40,Ocean,,1,2015,2
CRS-6,22,2015-04-14T20:10:00.000Z,1898.0,ISS,CCSFS SLC 40,ASDS,JRTI-1,0,2015,4
OG-2 Mission 2,25,2015-12-22T01:29:00.000Z,2034.0,LEO,CCSFS SLC 40,RTLS,LZ-1,1,2015,12
Jason 3,26,2016-01-17T15:42:00.000Z,553.0,PO,VAFB SLC 4E,ASDS,JRTI,0,2016,1
SES-9,27,2016-03-04T23:35:00.000Z,5271.0,GTO,CCSFS SLC 40,ASDS,OCISLY,0,2016,3
CRS-8,28,2016-04-08T20:43:00.000Z,3136.0,ISS,CCSFS SLC 40,ASDS,OCISLY,1,2016,4
JCSAT-2B,29,2016-05-06T05:21:00.000Z,4696.0,GTO,CCSFS SLC 40,ASDS,OCISLY,1,2016,5
Thaicom 8,30,2016-05-27T21:39:00.000Z,3100.0,GTO,CCSFS SLC 40,ASDS,OCISLY,1,2016,5
ABS-2A / Eutelsat 117W B,31,2016-06-15T14:29:00.000Z,3600.0,GTO,CCSFS SLC 40,ASDS,OCISLY,0,2016,6
CRS-9,32,2016-07-18T04:45:00.000Z,2257.0,ISS,CCSFS SLC 40,RTLS,LZ-1,1,2016,7
JCSAT-16,33,2016-08-14T05:26:00.000Z,4600.0,GTO,CCSFS SLC 40,ASDS,OCISLY,1,2016,8
Iridium NEXT Mission 1,35,2017-01-14T17:54:00.000Z,9600.0,PO,VAFB SLC 4E,ASDS,JRTI,1,2017,1
CRS-10,36,2017-02-19T14:39:00.000Z,2490.0,ISS,KSC LC 39A,RTLS,LZ-1,1,2017,2
SES-10,38,2017-03-30T22:27:00.000Z,5300.0,GTO,KSC LC 39A,ASDS,OCISLY,1,2017,3
NROL-76,39,2017-05-01T11:15:00.000Z,,LEO,KSC LC 39A,RTLS,LZ-1,1,2017,5
CRS-11,41,2017-06-03T21:07:00.000Z,2708.0,ISS,KSC LC 39A,RTLS,LZ-1,1,2017,6
BulgariaSat-1,42,2017-06-23T19:10:00.000Z,3669.0,GTO,KSC LC 39A,ASDS,OCISLY,1,2017,6
Iridium NEXT Mission 2,43,2017-06-25T20:25:00.000Z,9600.0,PO,VAFB SLC 4E,ASDS,JRTI,1,2017,6
CRS-12,45,2017-08-14T16:31:00.000Z,2910.0,ISS,KSC LC 39A,RTLS,LZ-1,1,2017,8
FormoSat-5,46,2017-08-24T18:50:00.000Z,475.0,SSO,VAFB SLC 4E,ASDS,JRTI,1,2017,8
Boeing X-37B OTV-5,47,2017-09-07T13:50:00.000Z,4990.0,LEO,KSC LC 39A,RTLS,LZ-1,1,2017,9
Iridium NEXT Mission 3,48,2017-10-09T12:37:00.000Z,9600.0,PO,VAFB SLC 4E,ASDS,JRTI,1,2017,10
SES-11 / Echostar 105,49,2017-10-11T22:53:00.000Z,5200.0,GTO,KSC LC 39A,ASDS,OCISLY,1,2017,10
KoreaSat 5A,50,2017-10-30T19:34:00.000Z,3700.0,GTO,KSC LC 39A,ASDS,OCISLY,1,2017,10
CRS-13,51,2017-12-15T15:36:00.000Z,2205.0,ISS,CCSFS SLC 40,RTLS,LZ-1,1,2017,12
Iridium NEXT Mission 4,52,2017-12-23T01:27:23.000Z,9600.0,PO,VAFB SLC 4E,Ocean,,1,2017,12
ZUMA,53,2018-01-08T01:00:00.000Z,,LEO,CCSFS SLC 40,RTLS,LZ-1,1,2018,1
SES-16 / GovSat-1,54,2018-01-31T21:25:00.000Z,4230.0,GTO,CCSFS SLC 40,Ocean,,1,2018,1
TESS,60,2018-04-18T22:51:00.000Z,350.0,HEO,CCSFS SLC 40,ASDS,OCISLY,1,2018,4
Bangabandhu-1,61,2018-05-11T20:14:00.000Z,3750.0,GTO,KSC LC 39A,ASDS,OCISLY,1,2018,5
Telstar 19V,65,2018-07-22T05:50:00.000Z,7076.0,GTO,CCSFS SLC 40,ASDS,OCISLY,1,2018,7
Iridium NEXT Mission 7,66,2018-07-25T11:39:26.000Z,9600.0,PO,VAFB SLC 4E,ASDS,JRTI,1,2018,7
Merah Putih,67,2018-08-07T05:18:00.000Z,5800.0,GTO,CCSFS SLC 40,ASDS,OCISLY,1,2018,8
Telstar 18V,68,2018-09-10T04:45:00.000Z,7060.0,GTO,CCSFS SLC 40,ASDS,OCISLY,1,2018,9
SAOCOM 1A,69,2018-10-08T02:22:00.000Z,2800.0,SSO,VAFB SLC 4E,RTLS,LZ-4,1,2018,10
Es’hail 2,70,2018-11-15T20:46:00.000Z,3000.0,GTO,KSC LC 39A,ASDS,OCISLY,1,2018,11
SSO-A,71,2018-12-03T18:34:00.000Z,4000.0,SSO,VAFB SLC 4E,ASDS,JRTI,1,2018,12
CRS-16,72,2018-12-05T18:16:00.000Z,2573.0,ISS,CCSFS SLC 40,RTLS,LZ-1,0,2018,12
Iridium NEXT Mission 8,74,2019-01-11T15:31:00.000Z,9600.0,PO,VAFB SLC 4E,ASDS,JRTI,1,2019,1
Nusantara Satu (PSN-6) / S5 / Beresheet,75,2019-02-22T01:45:00.000Z,5645.0,GTO,CCSFS SLC 40,ASDS,OCISLY,1,2019,2
CCtCap Demo Mission 1,76,2019-03-02T07:45:00.000Z,12259.0,ISS,KSC LC 39A,ASDS,OCISLY,1,2019,3
